imdb_score,Classify
7.9,Hit
7.1,Hit
6.8,Hit
8.5,Hit
7.1,Hit
6.6,Hit
6.2,Hit
7.8,Hit
7.5,Hit
7.5,Hit
6.9,Hit
6.1,Hit
6.7,Hit
7.3,Hit
6.5,Hit
7.2,Hit
6.6,Hit
8.1,Hit
6.7,Hit
6.8,Hit
7.5,Hit
7.0,Hit
6.7,Hit
7.9,Hit
6.1,Hit
7.2,Hit
7.7,Hit
8.2,Hit
5.9,Average
7.0,Hit
7.8,Hit
7.3,Hit
7.2,Hit
6.5,Hit
6.8,Hit
7.3,Hit
6.0,Average
5.7,Average
6.4,Hit
6.7,Hit
6.8,Hit
6.3,Hit
5.6,Average
8.3,Hit
6.6,Hit
7.2,Hit
7.0,Hit
8.0,Hit
7.8,Hit
6.3,Hit
7.3,Hit
6.6,Hit
7.0,Hit
6.3,Hit
6.2,Hit
6.8,Hit
7.2,Hit
7.5,Hit
8.4,Hit
6.2,Hit
5.8,Average
6.8,Hit
5.4,Average
6.6,Hit
6.9,Hit
7.3,Hit
9.0,Hit
8.3,Hit
6.5,Hit
7.9,Hit
7.5,Hit
4.8,Average
5.2,Average
6.9,Hit
5.4,Average
7.9,Hit
6.1,Hit
5.8,Average
8.3,Hit
7.8,Hit
7.0,Hit
6.1,Hit
7.0,Hit
7.6,Hit
4.5,Average
6.3,Hit
7.8,Hit
6.4,Hit
6.5,Hit
7.9,Hit
7.8,Hit
6.6,Hit
5.5,Average
8.2,Hit
6.4,Hit
8.1,Hit
8.6,Hit
8.8,Hit
8.2,Hit
7.9,Hit
6.7,Hit
7.8,Hit
7.8,Hit
6.6,Hit
6.1,Hit
5.6,Average
6.4,Hit
6.1,Hit
7.3,Hit
6.6,Hit
6.3,Hit
6.1,Hit
7.1,Hit
5.5,Average
7.5,Hit
7.6,Hit
6.4,Hit
7.2,Hit
6.7,Hit
8.0,Hit
8.3,Hit
6.7,Hit
5.9,Average
6.7,Hit
6.7,Hit
7.6,Hit
7.2,Hit
7.1,Hit
8.1,Hit
6.7,Hit
7.0,Hit
6.9,Hit
5.1,Average
5.8,Average
6.2,Hit
7.4,Hit
5.8,Average
6.6,Hit
6.2,Hit
7.3,Hit
4.2,Average
6.9,Hit
6.4,Hit
5.4,Average
6.7,Hit
5.8,Average
6.9,Hit
7.2,Hit
6.9,Hit
6.1,Hit
5.5,Average
6.6,Hit
6.1,Hit
6.3,Hit
7.2,Hit
7.4,Hit
7.3,Hit
6.1,Hit
7.7,Hit
6.1,Hit
8.0,Hit
7.3,Hit
7.9,Hit
5.5,Average
5.0,Average
7.7,Hit
6.6,Hit
5.7,Average
5.8,Average
6.0,Average
6.4,Hit
6.9,Hit
6.4,Hit
7.4,Hit
5.5,Average
5.9,Average
6.8,Hit
7.5,Hit
6.8,Hit
8.1,Hit
6.5,Hit
7.2,Hit
6.7,Hit
8.1,Hit
7.6,Hit
7.4,Hit
7.6,Hit
5.5,Average
6.7,Hit
6.5,Hit
6.6,Hit
6.7,Hit
6.4,Hit
5.8,Average
7.4,Hit
7.8,Hit
6.6,Hit
4.9,Average
6.5,Hit
7.5,Hit
6.2,Hit
7.3,Hit
7.5,Hit
5.6,Average
8.2,Hit
8.1,Hit
6.4,Hit
6.7,Hit
6.6,Hit
6.4,Hit
7.5,Hit
7.3,Hit
7.5,Hit
5.8,Average
7.5,Hit
6.6,Hit
6.7,Hit
